Inflow_State,y1_statefips,Origin_State,Origin_Extended_Name,Num_Returns,Num_Exceptions,Adj_Gross_Income,Year
AL,96,AL,AL Total Migration-US and Foreign,45226,89318,2474087,2018
AL,97,AL,AL Total Migration-US,44600,87927,2439333,2018
AL,98,AL,AL Total Migration-Foreign,626,1391,34755,2018
AL,97,AL,AL Total Migration-Same State,59337,119622,2833824,2018
AL,1,AL,AL Non-migrants,1582765,3468405,104423723,2018
AL,13,GA,Georgia,8046,15813,382562,2018
AL,12,FL,Florida,6859,13261,415716,2018
AL,47,TN,Tennessee,4097,7803,218707,2018
AL,48,TX,Texas,3436,7080,197865,2018
AL,28,MS,Mississippi,2387,4925,111077,2018
AL,37,NC,North Carolina,1705,3372,96085,2018
AL,6,CA,California,1531,2797,80557,2018
AL,51,VA,Virginia,1327,2772,93065,2018
AL,22,LA,Louisiana,1156,2201,63399,2018
AL,45,SC,South Carolina,1060,2264,83605,2018
AL,8,CO,Colorado,928,1785,62049,2018
AL,36,NY,New York,838,1552,39660,2018
AL,39,OH,Ohio,819,1625,41016,2018
AL,17,IL,Illinois,750,1429,37299,2018
AL,21,KY,Kentucky,743,1519,36672,2018
AL,26,MI,Michigan,706,1362,35040,2018
AL,53,WA,Washington,692,1375,39495,2018
AL,18,IN,Indiana,633,1260,29313,2018
AL,57,FR,Foreign,626,1391,34755,2018
AL,4,AZ,Arizona,581,1169,35359,2018
AL,29,MO,Missouri,547,1106,27704,2018
AL,24,MD,Maryland,494,906,28185,2018
AL,42,PA,Pennsylvania,491,930,29934,2018
AL,5,AR,Arkansas,439,866,18777,2018
AL,40,OK,Oklahoma,362,753,19753,2018
AL,20,KS,Kansas,338,769,18909,2018
AL,34,NJ,New Jersey,282,522,16235,2018
AL,55,WI,Wisconsin,277,523,13886,2018
AL,25,MA,Massachusetts,272,485,17628,2018
AL,32,NV,Nevada,272,542,12387,2018
AL,41,OR,Oregon,247,452,14041,2018
AL,15,HI,Hawaii,230,565,14775,2018
AL,27,MN,Minnesota,214,416,10766,2018
AL,2,AK,Alaska,186,468,10405,2018
AL,49,UT,Utah,185,407,11894,2018
AL,19,IA,Iowa,183,364,9251,2018
AL,35,NM,New Mexico,166,324,5535,2018
AL,9,CT,Connecticut,130,228,6548,2018
AL,11,DC,District Of Columbia,126,179,9600,2018
AL,54,WV,West Virginia,120,251,5381,2018
AL,31,NE,Nebraska,111,238,5830,2018
AL,16,ID,Idaho,110,252,5114,2018
AL,30,MT,Montana,98,183,4681,2018
AL,38,ND,North Dakota,76,170,3469,2018
AL,23,ME,Maine,73,163,5306,2018
AL,10,DE,Delaware,56,99,3408,2018
AL,56,WY,Wyoming,56,107,2915,2018
AL,33,NH,New Hampshire,55,97,2284,2018
AL,46,SD,South Dakota,44,93,3132,2018
AL,44,RI,Rhode Island,41,68,1866,2018
AL,50,VT,Vermont,25,37,1192,2018
AK,96,AK,AK Total Migration-US and Foreign,17978,35890,1063918,2018
AK,97,AK,AK Total Migration-US,17568,35030,1042243,2018
AK,98,AK,AK Total Migration-Foreign,410,860,21675,2018
AK,97,AK,AK Total Migration-Same State,6313,11863,357507,2018
AK,2,AK,AK Non-migrants,258617,541059,20796383,2018
AK,53,WA,Washington,2252,4173,131725,2018
AK,6,CA,California,1434,2561,70079,2018
AK,48,TX,Texas,1302,2989,89762,2018
AK,4,AZ,Arizona,992,1888,66794,2018
AK,41,OR,Oregon,963,1712,57723,2018
AK,12,FL,Florida,832,1614,49044,2018
AK,8,CO,Colorado,786,1449,47287,2018
AK,32,NV,Nevada,534,1031,33489,2018
AK,16,ID,Idaho,529,1102,36578,2018
AK,37,NC,North Carolina,493,1052,25628,2018
AK,13,GA,Georgia,472,1043,23577,2018
AK,15,HI,Hawaii,430,866,24705,2018
AK,51,VA,Virginia,424,921,26897,2018
AK,57,FR,Foreign,410,860,21675,2018
AK,49,UT,Utah,334,744,21514,2018
AK,36,NY,New York,331,593,16196,2018
AK,30,MT,Montana,322,612,22050,2018
AK,26,MI,Michigan,314,591,17558,2018
AK,27,MN,Minnesota,307,608,15675,2018
AK,47,TN,Tennessee,297,680,18321,2018
AK,42,PA,Pennsylvania,251,452,14485,2018
AK,40,OK,Oklahoma,247,568,16214,2018
AK,29,MO,Missouri,246,555,14690,2018
AK,39,OH,Ohio,246,490,12735,2018
AK,45,SC,South Carolina,226,496,13998,2018
AK,17,IL,Illinois,215,409,11348,2018
AK,35,NM,New Mexico,214,470,12346,2018
AK,1,AL,Alabama,212,491,13957,2018
AK,55,WI,Wisconsin,212,408,12332,2018
AK,20,KS,Kansas,197,484,10809,2018
AK,24,MD,Maryland,173,367,10395,2018
AK,22,LA,Louisiana,155,381,9599,2018
AK,21,KY,Kentucky,152,333,8724,2018
AK,18,IN,Indiana,146,287,7377,2018
AK,34,NJ,New Jersey,127,225,5271,2018
AK,25,MA,Massachusetts,119,206,6298,2018
AK,5,AR,Arkansas,119,246,6056,2018
AK,19,IA,Iowa,117,266,6603,2018
AK,56,WY,Wyoming,112,235,7752,2018
AK,28,MS,Mississippi,112,218,6637,2018
AK,31,NE,Nebraska,98,203,7112,2018
AK,46,SD,South Dakota,96,215,6177,2018
AK,38,ND,North Dakota,95,198,5179,2018
AK,23,ME,Maine,90,179,7225,2018
AK,33,NH,New Hampshire,48,79,2983,2018
AK,9,CT,Connecticut,39,69,1644,2018
AK,11,DC,District Of Columbia,36,59,2539,2018
AK,50,VT,Vermont,34,52,2039,2018
AK,54,WV,West Virginia,32,53,2040,2018
AK,10,DE,Delaware,30,60,1654,2018
AK,44,RI,Rhode Island,24,47,1419,2018
AZ,96,AZ,AZ Total Migration-US and Foreign,85671,159284,5335361,2018
AZ,97,AZ,AZ Total Migration-US,84705,157267,5278009,2018
AZ,98,AZ,AZ Total Migration-Foreign,966,2017,57352,2018
AZ,97,AZ,AZ Total Migration-Same State,43338,85869,2145644,2018
AZ,4,AZ,AZ Non-migrants,2338957,5039710,168227838,2018
AZ,6,CA,California,14685,26048,872129,2018
AZ,48,TX,Texas,7625,15211,522240,2018
AZ,8,CO,Colorado,4874,8739,302859,2018
AZ,53,WA,Washington,4845,8602,304866,2018
AZ,12,FL,Florida,3761,6681,360068,2018
AZ,32,NV,Nevada,3283,6105,199559,2018
AZ,41,OR,Oregon,2843,4878,165871,2018
AZ,17,IL,Illinois,2778,4685,151569,2018
AZ,35,NM,New Mexico,2765,5648,128984,2018
AZ,49,UT,Utah,2716,6163,150432,2018
AZ,26,MI,Michigan,2051,3786,131031,2018
AZ,36,NY,New York,1921,3099,108080,2018
AZ,37,NC,North Carolina,1875,3663,118523,2018
AZ,27,MN,Minnesota,1811,3287,131727,2018
AZ,39,OH,Ohio,1752,3200,93738,2018
AZ,13,GA,Georgia,1593,3121,112278,2018
AZ,51,VA,Virginia,1549,3042,112279,2018
AZ,55,WI,Wisconsin,1493,2740,82006,2018
AZ,42,PA,Pennsylvania,1367,2421,75646,2018
AZ,47,TN,Tennessee,1360,2634,91458,2018
AZ,29,MO,Missouri,1325,2482,84977,2018
AZ,16,ID,Idaho,1318,2730,80275,2018
AZ,18,IN,Indiana,1158,2220,64670,2018
AZ,57,FR,Foreign,966,2017,57352,2018
AZ,40,OK,Oklahoma,946,1906,49742,2018
AZ,19,IA,Iowa,903,1650,46916,2018
AZ,24,MD,Maryland,830,1562,57820,2018
AZ,20,KS,Kansas,822,1593,45738,2018
AZ,25,MA,Massachusetts,812,1265,60257,2018
AZ,45,SC,South Carolina,806,1592,49896,2018
AZ,34,NJ,New Jersey,793,1410,59063,2018
AZ,30,MT,Montana,773,1423,42465,2018
AZ,15,HI,Hawaii,703,1315,38950,2018
AZ,31,NE,Nebraska,648,1316,37521,2018
AZ,21,KY,Kentucky,574,1119,30231,2018
AZ,5,AR,Arkansas,564,1091,26031,2018
AZ,1,AL,Alabama,511,1021,31217,2018
AZ,38,ND,North Dakota,508,975,24815,2018
AZ,2,AK,Alaska,506,936,29085,2018
AZ,46,SD,South Dakota,493,871,31075,2018
AZ,56,WY,Wyoming,418,758,22329,2018
AZ,22,LA,Louisiana,412,781,22539,2018
AZ,9,CT,Connecticut,406,685,34745,2018
AZ,28,MS,Mississippi,284,567,12485,2018
AZ,23,ME,Maine,279,516,15565,2018
AZ,33,NH,New Hampshire,255,476,17835,2018
AZ,11,DC,District Of Columbia,192,260,14899,2018
AZ,54,WV,West Virginia,142,297,8334,2018
AZ,10,DE,Delaware,131,267,9118,2018
AZ,50,VT,Vermont,123,206,5767,2018
AZ,44,RI,Rhode Island,123,224,8304,2018
AR,96,AR,AR Total Migration-US and Foreign,30046,59827,1631119,2018
AR,97,AR,AR Total Migration-US,29782,59273,1620325,2018
AR,98,AR,AR Total Migration-Foreign,264,554,10794,2018
AR,97,AR,AR Total Migration-Same State,41262,84185,1721984,2018
AR,5,AR,AR Non-migrants,943044,2097158,65327022,2018
AR,48,TX,Texas,6150,12397,342386,2018
AR,29,MO,Missouri,2707,5428,118389,2018
AR,40,OK,Oklahoma,2611,5504,109165,2018
AR,47,TN,Tennessee,1915,3809,96551,2018
AR,12,FL,Florida,1617,3093,111434,2018
AR,6,CA,California,1393,2576,75296,2018
AR,22,LA,Louisiana,1098,2238,50618,2018
AR,17,IL,Illinois,823,1563,42790,2018
AR,8,CO,Colorado,812,1558,45111,2018
AR,13,GA,Georgia,810,1653,54123,2018
AR,28,MS,Mississippi,808,1724,46120,2018
AR,37,NC,North Carolina,634,1224,44346,2018
