y1_statefips,y1_statefips,y1_state,y1_state_name,n1,n2,AGI,Year
AL,96,AL,AL Total Migration-US and Foreign,47578,97703,2754842,2018
AL,97,AL,AL Total Migration-US,46908,96089,2714756,2018
AL,98,AL,AL Total Migration-Foreign,670,1614,40086,2018
AL,97,AL,AL Total Migration-Same State,59337,119622,2833824,2018
AL,1,AL,AL Non-migrants,1582765,3468405,104423723,2018
AL,13,GA,Georgia,7914,16158,404454,2018
AL,12,FL,Florida,7004,13862,372582,2018
AL,47,TN,Tennessee,3989,7903,230827,2018
AL,48,TX,Texas,3360,7303,222862,2018
AL,28,MS,Mississippi,2845,5731,145996,2018
AL,6,CA,California,1949,3936,124596,2018
AL,37,NC,North Carolina,1559,3184,91731,2018
AL,51,VA,Virginia,1363,3025,108722,2018
AL,22,LA,Louisiana,1278,2695,82177,2018
AL,17,IL,Illinois,1108,2225,69410,2018
AL,36,NY,New York,1019,1987,56942,2018
AL,39,OH,Ohio,1018,2017,52789,2018
AL,45,SC,South Carolina,901,1863,55025,2018
AL,26,MI,Michigan,887,1759,42385,2018
AL,8,CO,Colorado,850,1890,53432,2018
AL,21,KY,Kentucky,822,1751,47397,2018
AL,18,IN,Indiana,731,1523,40023,2018
AL,29,MO,Missouri,697,1434,43559,2018
AL,57,FR,Foreign,670,1614,40086,2018
AL,53,WA,Washington,648,1457,39678,2018
AL,42,PA,Pennsylvania,631,1243,43281,2018
AL,24,MD,Maryland,525,1058,40320,2018
AL,4,AZ,Arizona,511,1021,31217,2018
AL,5,AR,Arkansas,472,984,27940,2018
AL,40,OK,Oklahoma,430,973,23681,2018
AL,20,KS,Kansas,378,889,20502,2018
AL,34,NJ,New Jersey,330,673,19151,2018
AL,55,WI,Wisconsin,319,603,21835,2018
AL,25,MA,Massachusetts,290,517,15732,2018
AL,15,HI,Hawaii,279,678,17070,2018
AL,32,NV,Nevada,268,554,14176,2018
AL,19,IA,Iowa,246,469,13858,2018
AL,27,MN,Minnesota,221,409,13650,2018
AL,2,AK,Alaska,212,491,13957,2018
AL,35,NM,New Mexico,208,449,11306,2018
AL,9,CT,Connecticut,199,365,12525,2018
AL,41,OR,Oregon,193,360,10182,2018
AL,49,UT,Utah,180,407,11208,2018
AL,54,WV,West Virginia,162,357,11747,2018
AL,31,NE,Nebraska,143,320,10172,2018
AL,16,ID,Idaho,97,217,4933,2018
AL,30,MT,Montana,91,191,4608,2018
AL,38,ND,North Dakota,86,187,5304,2018
AL,11,DC,District Of Columbia,76,120,5754,2018
AL,46,SD,South Dakota,75,146,4304,2018
AL,23,ME,Maine,72,166,4073,2018
AL,56,WY,Wyoming,71,144,4444,2018
AL,33,NH,New Hampshire,69,137,4523,2018
AL,10,DE,Delaware,52,101,3332,2018
AL,44,RI,Rhode Island,50,101,3076,2018
AL,50,VT,Vermont,30,56,2305,2018
AK,96,AK,AK Total Migration-US and Foreign,13916,26983,742553,2018
AK,97,AK,AK Total Migration-US,13489,26024,722943,2018
AK,98,AK,AK Total Migration-Foreign,427,959,19610,2018
AK,97,AK,AK Total Migration-Same State,6313,11863,357507,2018
AK,2,AK,AK Non-migrants,258617,541059,20796383,2018
AK,6,CA,California,1413,2477,75175,2018
AK,53,WA,Washington,1310,2349,72866,2018
AK,48,TX,Texas,1048,2222,69652,2018
AK,12,FL,Florida,758,1453,34881,2018
AK,8,CO,Colorado,630,1121,33837,2018
AK,41,OR,Oregon,600,1024,31548,2018
AK,4,AZ,Arizona,506,936,29085,2018
AK,37,NC,North Carolina,454,1007,20677,2018
AK,57,FR,Foreign,427,959,19610,2018
AK,13,GA,Georgia,392,883,17689,2018
AK,51,VA,Virginia,383,809,25179,2018
AK,36,NY,New York,328,553,15794,2018
AK,15,HI,Hawaii,292,641,13570,2018
AK,26,MI,Michigan,275,484,12771,2018
AK,16,ID,Idaho,273,562,14654,2018
AK,32,NV,Nevada,273,521,14684,2018
AK,40,OK,Oklahoma,253,603,14893,2018
AK,47,TN,Tennessee,249,489,12336,2018
AK,42,PA,Pennsylvania,247,457,12720,2018
AK,49,UT,Utah,240,530,13755,2018
AK,17,IL,Illinois,229,388,11203,2018
AK,30,MT,Montana,222,416,11377,2018
AK,27,MN,Minnesota,217,387,11621,2018
AK,29,MO,Missouri,195,395,8797,2018
AK,55,WI,Wisconsin,193,320,11088,2018
AK,20,KS,Kansas,192,440,10068,2018
AK,39,OH,Ohio,191,338,8565,2018
AK,1,AL,Alabama,186,468,10405,2018
AK,45,SC,South Carolina,169,380,8340,2018
AK,35,NM,New Mexico,156,277,9320,2018
AK,22,LA,Louisiana,151,367,9828,2018
AK,24,MD,Maryland,139,273,7886,2018
AK,25,MA,Massachusetts,123,198,7000,2018
AK,18,IN,Indiana,116,205,5475,2018
AK,21,KY,Kentucky,107,209,4254,2018
AK,34,NJ,New Jersey,103,172,4683,2018
AK,28,MS,Mississippi,99,194,4883,2018
AK,56,WY,Wyoming,92,202,5538,2018
AK,38,ND,North Dakota,83,177,4149,2018
AK,5,AR,Arkansas,81,188,4136,2018
AK,31,NE,Nebraska,76,156,4353,2018
AK,19,IA,Iowa,71,115,2934,2018
AK,46,SD,South Dakota,63,131,2879,2018
AK,23,ME,Maine,61,93,3101,2018
AK,33,NH,New Hampshire,57,88,4025,2018
AK,9,CT,Connecticut,49,77,2125,2018
AK,54,WV,West Virginia,43,81,2307,2018
AK,10,DE,Delaware,29,52,1071,2018
AK,50,VT,Vermont,27,36,1078,2018
AK,11,DC,District Of Columbia,27,38,3787,2018
AK,44,RI,Rhode Island,18,42,901,2018
AZ,96,AZ,AZ Total Migration-US and Foreign,120488,225293,8857079,2018
AZ,97,AZ,AZ Total Migration-US,119298,222674,8794949,2018
AZ,98,AZ,AZ Total Migration-Foreign,1190,2619,62130,2018
AZ,97,AZ,AZ Total Migration-Same State,43338,85869,2145644,2018
AZ,4,AZ,AZ Non-migrants,2338957,5039710,168227838,2018
AZ,6,CA,California,27982,53096,2078363,2018
AZ,48,TX,Texas,7791,15331,552547,2018
AZ,53,WA,Washington,6983,12914,571238,2018
AZ,17,IL,Illinois,6123,11114,549736,2018
AZ,8,CO,Colorado,6044,11003,435480,2018
AZ,12,FL,Florida,4150,7404,276782,2018
AZ,32,NV,Nevada,3709,6998,221496,2018
AZ,35,NM,New Mexico,3669,7458,183931,2018
AZ,41,OR,Oregon,3479,6266,279548,2018
AZ,36,NY,New York,2990,4985,287669,2018
AZ,26,MI,Michigan,2967,5332,191887,2018
AZ,49,UT,Utah,2883,6325,161415,2018
AZ,27,MN,Minnesota,2848,4914,306743,2018
AZ,39,OH,Ohio,2536,4512,254590,2018
AZ,55,WI,Wisconsin,2452,4459,166639,2018
AZ,42,PA,Pennsylvania,1987,3411,150126,2018
AZ,51,VA,Virginia,1867,3520,152620,2018
AZ,37,NC,North Carolina,1840,3650,114123,2018
AZ,29,MO,Missouri,1831,3434,115005,2018
AZ,18,IN,Indiana,1790,3295,126816,2018
AZ,13,GA,Georgia,1719,3340,107821,2018
AZ,16,ID,Idaho,1482,2896,80119,2018
AZ,19,IA,Iowa,1358,2405,101888,2018
AZ,34,NJ,New Jersey,1320,2313,142862,2018
AZ,25,MA,Massachusetts,1210,1932,109946,2018
AZ,57,FR,Foreign,1190,2619,62130,2018
AZ,20,KS,Kansas,1177,2262,74881,2018
AZ,47,TN,Tennessee,1137,2152,65526,2018
AZ,24,MD,Maryland,1049,1941,92983,2018
AZ,30,MT,Montana,1041,1878,62386,2018
AZ,31,NE,Nebraska,1036,1894,74293,2018
AZ,40,OK,Oklahoma,1027,2042,57053,2018
AZ,2,AK,Alaska,992,1888,66794,2018
AZ,15,HI,Hawaii,912,1804,66545,2018
AZ,45,SC,South Carolina,778,1518,54361,2018
AZ,46,SD,South Dakota,737,1311,42920,2018
AZ,38,ND,North Dakota,726,1250,50084,2018
AZ,9,CT,Connecticut,709,1231,70159,2018
AZ,21,KY,Kentucky,642,1243,36684,2018
AZ,56,WY,Wyoming,635,1235,40773,2018
AZ,22,LA,Louisiana,612,1177,34660,2018
AZ,1,AL,Alabama,581,1169,35359,2018
AZ,5,AR,Arkansas,555,1042,26994,2018
AZ,33,NH,New Hampshire,375,615,22751,2018
AZ,28,MS,Mississippi,374,691,16459,2018
AZ,23,ME,Maine,300,524,16245,2018
AZ,44,RI,Rhode Island,193,359,14861,2018
AZ,11,DC,District Of Columbia,190,262,17894,2018
AZ,54,WV,West Virginia,190,331,11853,2018
AZ,10,DE,Delaware,163,287,10701,2018
AZ,50,VT,Vermont,157,261,12342,2018
AR,96,AR,AR Total Migration-US and Foreign,30908,62258,1613152,2018
AR,97,AR,AR Total Migration-US,30637,61662,1601322,2018
AR,98,AR,AR Total Migration-Foreign,271,596,11830,2018
AR,97,AR,AR Total Migration-Same State,41262,84185,1721984,2018
