State,agi_stub,N1,    MARS1,    MARS2,    MARS4,    PREP,N2,NUMDEP,A00100,    N02650,        A02650,    N00200,        A00200,    N00300,        A00300,    N00600,        A00600,    N00650,        A00650,    N00700,        A00700,N00900,        A00900,    N01000,        A01000,N01400,        A01400,    N01700,        A01700,    SCHF,    N02300,        A02300,    N02500,        A02500,    N26270,        A26270,N02900,    A02900,    N03220,        A03220,    N03300,        A03300,    N03270,        A03270,    N03150,        A03150,    N03210,        A03210,    N03230,        A03230,    N03240,        A03240,N04470,    A04470,    N18425,        A18425,    N18450,        A18450,    N18500,        A18500,    N18300,        A18300,    N19300,        A19300,    N19700,        A19700,N04800,    A04800,N05800,    A05800,N09600,        A09600,N07100,    A07100,    N07300,        A07300,    N07180,        A07180,    N07230,        A07230,    N07240,        A07240,    N07220,        A07220,    N07260,        A07260,N09400,    A09400,N10600,    A10600,    N59660,    A59660,N59720,        A59720,    N11070,        A11070,    N10960,        A10960,N06500,    A06500,N10300,    A10300,    N85530,    A85530,    N85300,    A85300,N11901,    A11901,N11902,    A11902
US,0 ,"146,542,500","68,000,920","53,790,930","21,831,840","80,786,560","288,734,990","97,496,690","9,057,169,217","146,021,300","9,195,622,901","121,492,330","6,450,670,537","44,682,860","99,836,029","27,513,390","210,600,378","25,283,880","154,265,283","21,384,760","28,063,667","23,720,890","311,850,142","23,963,200","486,555,752","13,322,730","215,278,038","27,382,090","628,097,054","1,881,430","9,476,990","53,467,348","18,174,350","240,247,207","8,489,820","528,936,594","37,251,950","138,453,685","3,787,900","959,159","961,790","22,115,199","4,016,880","27,201,316","2,613,790","12,477,796","11,343,230","11,535,644","1,881,250","4,315,477","690,050","10,949,492","44,559,850","1,200,005,996","32,876,940","305,302,274","9,956,040","16,560,772","37,910,800","174,135,517","44,216,860","507,721,768","33,027,470","293,882,815","36,654,190","195,801,863","109,970,210","6,370,920,262","109,076,510","1,291,066,761","3,975,720","27,500,711","45,353,540","68,982,314","7,402,140","20,310,019","6,267,160","3,396,399","10,059,710","10,487,022","7,171,490","1,250,842","22,459,660","27,137,834","3,118,570","1,592,240","18,741,750","55,378,626","137,877,770","1,549,235,962","28,487,090","67,276,706","24,823,780","58,495,106","20,394,710","27,364,946","10,243,560","9,099,883","97,402,280","1,228,719,330","106,645,000","1,307,974,931","2,863,230","6,211,352","3,149,120","16,600,463","26,535,090","138,164,325","111,772,110","338,105,804"
US,1 ,"2,177,050","1,331,970","656,970","96,040","1,438,570","3,242,330","579,530","-203,222,078","1,655,850","-200,481,437","604,580","20,120,123","737,590","5,474,139","527,170","4,475,167","478,300","2,988,653","65,600","260,570","727,000","-8,550,798","745,370","12,853,546","156,880","2,442,811","243,630","3,087,048","137,550","35,280","233,699","3,680","25,652","407,710","-43,866,423","516,940","2,740,642","9,410","2,239","4,080","67,373","133,180","720,893","12,330","61,154","86,190","101,516","90,110","318,107","11,700","269,782",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"8,780","202,893","7,450","199,143","4,470","15,738",210,91,50,32,770,952,950,900,"2,300","3,007",160,757,"288,200","690,520","940,340","5,134,967","227,060","244,197","147,190","159,646","93,380","143,909","163,590","153,330","7,090","187,853","338,580","1,007,326","10,000","18,020",910,"8,882","195,880","418,576","777,710","3,786,853"
US,2 ,"22,673,700","18,182,030","1,816,480","2,374,490","10,906,580","22,796,270","5,526,610","119,218,527","22,673,700","123,408,838","16,843,110","94,501,952","3,353,980","1,797,093","2,074,420","2,636,260","1,848,950","1,570,036","178,330","112,821","3,707,540","15,657,731","1,768,960","391,149","910,250","3,427,996","1,999,400","9,113,446","118,080","819,300","2,832,449","49,650","218,655","296,070","-520,185","4,002,840","4,190,311","44,330","9,396","6,790","29,137","245,340","867,896","45,150","138,132","428,560","380,020","356,050","1,042,607","13,180","18,709","867,530","13,881,379","224,550","448,827","473,060","299,882","598,000","2,076,038","816,960","2,955,976","434,070","3,170,175","499,640","622,154","2,418,580","4,346,574","2,201,640","436,123","2,070","8,478","138,540","12,515","95,520","3,557",180,49,"25,860","7,143","1,920",343,"1,380",397,540,109,"3,185,200","2,586,474","19,053,690","19,271,828","7,610,410","9,242,938","6,624,310","7,830,704","2,546,080","1,738,470","1,353,790","1,173,427","2,164,670","423,672","5,531,670","3,116,731","1,020","1,279",720,"3,656","2,129,000","990,463","17,735,380","17,088,789"
US,3 ,"33,764,700","19,140,450","5,474,920","8,561,850","18,071,590","60,481,940","22,801,050","576,873,727","33,764,700","586,692,968","27,131,580","441,276,887","5,115,330","4,160,701","2,789,900","5,935,031","2,476,100","3,565,750","709,110","410,430","5,516,900","46,352,990","2,257,220","2,635,098","2,096,550","14,054,591","4,859,840","51,115,354","227,000","2,831,400","15,518,453","2,099,650","3,689,659","594,290","1,469,972","6,923,550","9,819,241","227,650","51,164","22,770","124,229","464,490","1,863,042","222,170","685,112","1,629,110","1,479,926","249,530","596,298","28,510","52,104","2,706,300","41,887,419","1,088,950","1,472,420","1,316,590","1,088,521","1,873,330","5,803,930","2,622,680","8,877,599","1,406,280","9,421,924","1,823,090","3,821,252","21,322,060","133,891,570","20,968,310","14,067,341","7,900","15,291","6,857,360","2,423,658","292,210","27,728","440,880","146,567","2,263,370","1,226,887","2,140,310","346,392","1,981,900","634,057","120,090","27,304","4,651,220","7,853,778","31,591,280","98,352,371","12,978,070","42,778,936","11,712,050","37,895,445","10,251,220","14,135,259","2,679,590","2,281,232","16,525,580","11,643,783","20,306,150","19,779,809","2,620","40,734",830,"4,155","3,119,280","3,193,980","29,402,670","81,636,429"
US,4 ,"34,182,810","16,500,050","9,717,180","6,970,170","18,266,810","68,163,320","24,381,760","1,235,053,386","34,182,810","1,251,453,479","29,752,840","1,004,471,539","7,709,640","6,329,126","4,108,860","10,425,583","3,695,820","6,640,247","3,072,330","1,889,277","4,238,200","36,851,475","3,344,690","6,413,982","2,671,290","25,424,572","6,066,190","101,422,026","352,330","2,567,140","15,226,696","5,247,320","33,987,275","1,014,400","6,560,533","7,871,950","16,400,094","762,660","181,377","56,590","441,813","664,840","3,220,980","623,380","2,338,562","3,487,170","3,662,957","255,770","548,029","60,670","141,366","7,376,130","116,052,145","4,675,580","8,944,808","2,262,210","2,507,772","5,513,450","15,949,312","7,267,230","28,934,039","4,765,360","30,844,448","5,412,400","13,682,474","32,663,130","631,912,488","32,444,540","77,397,011","8,510","29,955","13,982,880","12,223,775","855,460","165,168","1,580,210","902,454","2,963,500","2,907,154","4,140,930","759,496","7,863,690","7,106,722","606,360","193,763","3,065,190","7,331,396","33,276,960","142,126,825","7,621,250","15,002,407","6,301,860","12,603,104","6,486,040","9,942,396","2,195,110","1,872,549","26,376,810","65,284,616","27,794,890","73,413,511","5,360","7,222","2,210","5,534","4,866,340","7,636,798","28,706,390","75,524,370"
US,5 ,"19,328,370","7,101,820","9,481,430","2,246,020","10,978,570","42,328,230","13,530,960","1,188,985,634","19,328,370","1,203,749,151","16,724,690","919,323,599","7,184,180","6,723,208","4,003,350","12,959,028","3,645,520","8,611,045","4,250,710","3,239,235","2,859,340","28,765,365","3,304,610","9,723,123","2,274,310","29,546,154","4,773,680","113,182,532","312,110","1,382,680","8,140,240","3,915,700","56,828,459","1,013,200","10,078,587","5,762,110","14,763,517","780,790","193,651","70,550","697,183","524,850","2,936,087","544,340","2,424,159","2,503,850","2,465,169","302,810","600,858","71,770","194,008","8,144,510","148,321,407","6,029,040","18,416,255","1,809,250","2,584,065","6,814,370","21,660,865","8,094,750","44,402,168","6,050,250","42,683,612","6,472,400","18,679,808","19,216,930","768,951,367","19,152,980","108,326,525","31,320","57,926","8,181,940","11,815,975","1,034,160","295,332","1,093,950","591,556","1,746,000","2,150,096","887,370","143,711","5,287,330","8,171,136","684,550","260,834","2,067,580","5,750,603","18,995,540","135,375,613","50,310","8,227","38,370","6,208","883,280","1,204,272","1,303,390","1,179,048","18,217,820","96,510,802","18,488,520","103,719,713","4,610","24,601","2,400","4,612","4,375,240","9,773,931","14,491,680","40,658,085"
US,6 ,"12,397,060","2,842,340","8,497,040","842,420","7,186,950","30,579,650","9,690,060","1,073,161,909","12,397,060","1,085,575,896","10,833,670","814,035,757","5,934,010","6,189,891","3,512,060","13,235,955","3,226,880","9,118,563","4,058,020","3,678,832","2,082,310","25,239,665","2,925,420","12,009,612","1,794,660","31,074,130","3,511,650","103,714,189","245,280","826,000","4,929,291","2,710,430","51,674,704","931,790","12,533,864","3,846,150","12,413,987","672,910","177,165","79,140","917,885","405,900","2,535,666","409,210","2,049,980","1,412,070","1,642,469","109,870","208,841","72,390","235,292","7,213,950","149,681,131","5,717,870","24,855,208","1,300,280","2,302,240","6,344,390","23,041,002","7,191,680","51,897,351","5,699,290","46,172,299","6,035,010","19,716,451","12,364,910","750,210,077","12,333,640","111,557,621","77,720","137,998","5,728,730","9,482,869","982,140","355,171","971,780","542,981","1,343,360","1,726,835",0,0,"3,785,280","6,380,231","571,430","254,867","1,533,950","4,944,472","12,243,860","129,847,690",0,0,0,0,"107,420","157,334","971,700","902,998","12,203,220","102,075,113","12,251,760","107,957,312","5,900","5,802","2,530","20,889","3,176,290","9,265,065","8,852,030","29,828,353"
US,7 ,"16,422,010","2,292,730","13,351,200","605,740","9,789,720","44,859,280","15,091,590","2,208,749,172","16,422,010","2,237,449,877","14,670,720","1,666,246,382","10,014,990","13,989,627","6,686,070","35,804,390","6,253,450","25,929,487","7,114,890","8,432,247","3,182,500","64,054,399","5,849,870","43,899,956","2,551,280","66,840,262","4,687,230","181,317,579","338,270","862,750","5,494,317","3,198,770","69,889,293","2,115,230","54,059,325","6,075,840","28,700,705","1,117,010","300,114","282,860","4,638,289","795,580","6,081,267","620,190","3,485,117","1,796,290","1,803,587","517,110","1,000,737","176,450","830,136","12,996,180","336,013,815","10,739,180","77,866,878","2,005,350","4,688,177","11,901,500","56,910,176","12,974,670","143,092,106","10,660,770","101,753,941","11,538,000","47,118,607","16,397,630","1,659,491,046","16,375,930","291,110,391","626,720","1,520,260","7,801,360","11,035,013","2,195,060","1,558,528","1,662,870","928,606","1,716,850","2,467,954",0,0,"3,535,610","4,840,316","887,900","523,740","2,472,740","11,184,336","16,251,530","312,980,424",0,0,0,0,"27,270","43,242","1,576,390","1,537,298","16,321,800","280,076,824","16,345,970","293,492,858","131,040","50,533","57,470","39,824","5,801,170","28,248,378","9,900,140","42,972,138"
US,8 ,"4,538,210","491,740","3,897,320","109,650","3,215,800","13,145,740","4,712,860","1,290,856,351","4,538,210","1,316,092,189","4,035,970","877,338,923","3,633,520","12,792,792","2,930,590","36,595,854","2,804,860","27,685,619","1,610,690","3,689,758","1,120,270","61,994,311","2,859,730","65,308,913","721,860","33,141,740","1,063,930","55,340,101","114,730","139,700","991,844","774,570","19,218,280","1,443,010","117,429,258","1,688,630","25,235,838","163,000","41,557","303,260","8,616,048","537,170","5,619,051","108,230","1,007,871",0,0,0,0,"144,560","1,517,521","4,271,530","189,906,372","3,555,840","63,329,766","659,830","2,281,182","3,942,990","31,596,857","4,266,880","98,703,210","3,333,940","46,071,049","3,937,920","29,532,388","4,531,110","1,057,417,212","4,532,920","255,431,856","2,840,300","14,831,149","1,955,750","4,838,109","1,361,460","3,731,291","454,610","246,176",0,0,0,0,"2,160","1,968","214,860","220,373","1,095,990","8,707,773","4,479,250","253,905,382",0,0,0,0,30,65,0,0,"4,528,540","250,604,932","4,530,470","264,116,632","1,951,040","1,512,606","2,166,960","2,247,235","2,328,160","33,206,460","1,678,890","13,986,130"
US,9 ,"711,530","76,630","609,120","17,060","610,510","2,122,390","802,360","479,153,210","711,530","489,722,916","609,290","267,881,622","661,440","7,269,054","573,510","19,077,413","554,650","14,445,104","181,460","1,275,932","194,060","21,189,782","589,480","44,733,423","100,080","5,874,040","120,030","6,288,603","22,750","10,210","79,554","114,240","3,029,554","414,430","96,204,193","359,940","10,569,706","8,350","2,059","89,810","3,978,333","153,100","1,987,300","19,550","194,996",0,0,0,0,"54,960","1,344,456","664,570","59,343,821","565,790","28,047,518","92,950","393,629","622,630","8,682,759","663,570","37,535,839","480,980","9,280,183","629,090","11,984,188","709,900","419,270,828","710,980","125,584,341","311,150","4,360,735","445,840","4,015,185","359,760","3,340,408","48,930","29,030",0,0,0,0,0,0,"24,270","56,600","246,280","3,004,090","701,960","122,532,707",0,0,0,0,0,0,0,0,"710,300","121,582,050","710,490","128,933,732","510,520","1,619,356","603,700","2,539,379","390,290","17,473,404","150,800","3,887,024"
