STATE,AGI_STUB,N1,MARS1,MARS2,MARS4,PREP,N2,NUMDEP,TOTAL_VITA,VITA,MVITA,TCE,A00100,N02650,A02650,N00200,A00200,N00300,A00300,N00600,A00600,N00650,A00650,N00700,A00700,N00900,A00900,N01000,A01000,N01400,A01400,N01700,A01700,SCHF,N02300,A02300,N02500,A02500,N26270,A26270,N02900,A02900,N03220,A03220,N03300,A03300,N03270,A03270,N03150,A03150,N03210,A03210,N03230,A03230,N03240,A03240,N04470,A04470,N18425,A18425,N18450,A18450,N18500,A18500,N18300,A18300,N19300,A19300,N19700,A19700,N04800,A04800,N05800,A05800,N09600,A09600,N05780,A05780,N07100,A07100,N07300,A07300,N07180,A07180,N07230,A07230,N07240,A07240,N07220,A07220,N07260,A07260,N09400,A09400,N85770,A85770,N85775,A85775,N09750,A09750,N10600,A10600,N59660,A59660,N59720,A59720,N11070,A11070,N10960,A10960,N11560,A11560,N06500,A06500,N10300,A10300,N85530,A85530,N85300,A85300,N11901,A11901,N11902,A11902
US,0,"147,766,770","69,114,630","53,884,160","21,760,150","80,674,450","288,823,190","96,313,420","3,699,230","1,845,410","168,510","1,685,320","9,706,026,114","147,205,010","9,849,800,852","122,324,780","6,729,585,142","43,122,600","92,958,863","27,610,080","250,723,542","25,645,250","188,921,515","20,739,800","30,338,880","24,210,510","323,702,465","24,343,420","696,578,897","13,657,400","236,410,472","27,827,750","659,649,067","1,862,290","7,485,240","32,178,417","18,902,780","260,435,734","8,629,770","579,491,578","37,900,730","143,774,738","3,684,220","935,050","980,000","23,004,493","4,151,270","27,717,575","2,659,670","12,906,493","11,869,890","12,667,195","1,751,110","4,097,952","693,050","11,910,923","43,882,990","1,198,897,295","32,200,900","307,715,563","9,649,810","16,464,039","37,152,200","178,349,860","43,552,770","515,905,890","32,111,470","279,075,372","36,200,750","210,233,713","111,970,150","6,957,528,903","111,275,310","1,423,250,676","4,226,670","28,348,288","1,709,890","1,493,567","45,568,430","70,711,262","7,887,910","21,975,387","6,290,160","3,432,972","9,853,180","10,318,659","7,713,390","1,343,128","22,251,460","26,937,527","2,670,130","1,761,494","19,179,830","57,605,544","3,023,580","10,495,104","3,317,110","11,559,594","7,973,490","1,689,622","139,170,410","1,677,704,587","28,233,280","67,720,175","24,378,470","58,479,874","19,902,840","26,732,431","9,970,360","8,849,150","1,387,780","899,922","99,798,520","1,362,033,238","110,726,130","1,448,841,885","3,112,610","6,885,680","3,580,450","22,372,694","28,546,820","157,628,494","111,185,420","340,538,997"
US,1,"2,119,200","1,293,190","639,970","93,120","1,364,740","3,168,420","540,230","24,130","12,860",480,"10,800","-199,107,915","1,557,580","-196,611,006","583,940","19,592,353","664,840","4,583,491","460,540","4,520,123","419,500","3,018,768","64,670","268,627","700,170","-9,527,323","662,500","14,174,246","151,260","2,355,144","234,900","2,998,866","131,190","27,050","120,238","3,370","21,806","381,740","-37,790,784","499,910","2,496,909","8,590","2,049","3,820","71,111","126,400","651,756","12,080","60,048","85,730","102,117","95,630","341,341","11,510","261,760",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"26,410","185,940","6,210","178,008","18,410","5,891","6,600","18,160",150,81,20,16,"1,140",970,730,630,"3,340","3,064",10,8,"271,340","672,289","99,480","509,823","103,570","466,306","25,580","3,630","925,620","5,127,159","210,360","222,184","135,710","145,276","83,460","128,276","147,260","138,293","76,170","72,669","22,350","167,919","351,760","968,214","9,430","18,357",20,198,"205,020","398,799","772,130","3,698,851"
US,2,"22,074,430","17,762,230","1,754,370","2,262,220","10,447,180","21,895,800","5,223,220","1,028,850","542,380","14,810","471,660","115,831,914","22,074,280","119,820,367","16,457,050","93,069,546","3,042,330","1,463,969","1,945,500","2,420,502","1,752,410","1,494,544","168,180","113,675","3,622,660","15,092,792","1,667,480","954,174","880,390","3,355,673","1,965,150","8,980,324","108,050","610,050","1,582,662","48,510","219,114","279,030","-471,115","3,886,260","3,988,453","39,990","8,406","6,520","30,117","238,550","737,551","44,870","137,777","406,810","369,070","360,480","1,069,885","12,030","20,064","749,220","11,748,643","185,660","306,333","411,810","221,575","525,580","1,881,324","706,610","2,528,942","379,480","2,660,980","435,830","514,918","2,390,450","4,352,539","2,242,940","459,902","1,680","5,150","80,180","28,400","159,710","16,915","103,060","3,682",320,86,"31,250","8,939","4,060",845,"6,790","1,954","1,750",920,"3,110,030","2,516,362","355,690","1,419,256","360,790","1,354,056","218,060","22,409","18,542,600","18,648,179","7,392,270","8,920,775","6,407,710","7,565,865","2,440,060","1,667,834","1,249,230","1,077,264","242,760","132,993","2,193,570","443,240","5,583,780","3,070,822",460,591,90,84,"2,172,670","1,014,410","17,220,810","16,505,178"
US,3,"33,241,090","19,186,140","5,188,130","8,291,970","17,477,280","58,500,700","21,759,980","1,263,400","669,260","37,500","556,650","568,373,815","33,241,090","577,953,299","26,662,740","439,206,965","4,662,010","3,463,823","2,644,290","5,721,948","2,376,290","3,541,755","628,110","383,114","5,664,350","47,692,132","2,175,530","3,817,713","2,017,540","13,927,553","4,732,290","50,133,889","212,940","2,060,040","8,009,753","2,130,760","3,790,977","576,670","1,534,880","6,909,690","9,579,484","207,690","46,498","22,030","123,948","478,460","1,641,988","218,980","687,180","1,577,220","1,468,091","220,410","540,162","26,060","50,088","2,424,510","37,281,891","947,350","1,158,725","1,186,320","839,768","1,661,030","5,325,563","2,346,910","7,781,723","1,234,330","8,008,310","1,642,230","3,513,434","20,914,050","132,287,284","20,675,580","14,009,806","7,140","13,964","497,360","171,404","6,658,860","2,360,453","288,380","28,412","414,520","136,997","2,207,590","1,212,229","2,173,480","350,705","1,843,950","592,911","99,340","25,344","4,780,630","8,123,145","1,263,470","4,179,950","1,256,620","4,114,297","3,435,020","359,847","31,119,990","97,555,758","12,828,340","42,790,863","11,439,880","37,673,485","9,930,660","13,749,222","2,638,340","2,252,976","654,690","354,811","16,429,760","11,649,555","21,179,490","20,408,589","1,620","2,218",50,10,"3,250,760","3,384,848","28,790,510","80,222,516"
US,4,"34,434,640","17,002,340","9,363,450","7,052,760","18,089,200","67,584,280","23,925,860","953,620","501,130","51,520","400,970","1,245,401,142","34,434,640","1,261,812,929","29,920,320","1,018,593,468","7,128,770","5,368,113","3,947,220","10,405,583","3,590,340","6,783,898","2,717,210","1,708,435","4,312,070","37,856,566","3,260,880","8,760,250","2,606,430","25,464,596","5,986,290","100,600,267","338,030","2,046,310","9,269,974","5,225,980","34,462,208","985,610","6,642,255","7,933,940","16,411,787","723,190","171,690","55,330","429,490","680,720","3,018,491","620,510","2,349,537","3,595,080","3,924,621","217,890","477,269","56,610","135,528","6,807,430","107,835,095","4,219,240","7,841,138","2,106,920","2,270,405","4,972,730","14,848,832","6,699,800","26,511,888","4,258,400","26,798,481","5,012,000","13,085,586","32,938,970","639,097,972","32,728,980","78,527,668","8,040","28,686","736,070","512,044","13,979,650","12,072,669","835,850","165,557","1,562,990","893,589","2,924,450","2,902,069","4,352,910","797,198","7,797,780","7,041,090","498,090","186,192","3,127,770","7,561,542","1,064,090","3,573,255","1,144,760","3,992,211","2,995,340","586,873","33,488,290","143,333,470","7,725,260","15,766,759","6,339,060","13,081,664","6,416,220","9,744,160","2,170,500","1,855,679","355,530","275,333","26,709,720","66,455,438","28,746,360","75,378,569","3,780","5,368","1,170",295,"5,175,510","8,144,764","28,675,360","75,274,731"
US,5,"19,599,270","7,505,520","9,215,500","2,342,260","11,026,510","42,191,920","13,389,580","270,530","85,860","29,870","154,800","1,205,564,936","19,599,270","1,220,756,735","16,883,870","931,988,054","6,771,220","5,801,515","3,924,020","13,489,688","3,612,000","9,153,030","3,884,560","2,975,959","2,880,100","29,289,086","3,284,200","13,043,156","2,284,830","30,292,919","4,802,380","114,312,686","304,000","1,136,040","5,264,491","4,000,470","58,845,493","988,920","10,143,879","5,831,470","15,191,799","736,740","182,727","69,160","692,307","535,330","2,909,909","547,220","2,454,310","2,617,640","2,900,216","277,520","554,001","67,500","191,306","7,750,530","137,896,052","5,632,270","16,898,484","1,736,730","2,466,408","6,392,080","20,812,808","7,699,180","42,059,888","5,630,570","38,387,862","6,137,100","18,236,457","19,488,860","783,023,181","19,422,950","110,273,089","29,250","52,730","244,460","384,636","8,099,020","11,654,759","1,049,140","305,128","1,059,670","577,666","1,673,910","2,076,862","1,182,210","193,750","5,229,260","8,053,743","569,340","264,107","2,100,820","5,859,559","207,320","718,147","305,610","1,120,273","825,320","308,839","19,233,850","136,897,284","77,050","19,594","56,110","13,584","891,000","1,226,889","1,252,830","1,134,120","51,880","55,564","18,477,390","98,618,536","18,806,730","105,731,398","3,260","3,926","1,340",404,"4,643,820","10,467,876","14,518,580","40,460,589"
US,6,"12,658,430","3,080,660","8,443,820","898,800","7,317,850","30,703,500","9,605,600","93,820","19,390","17,470","56,950","1,096,385,948","12,658,430","1,108,975,845","10,978,780","826,216,875","5,707,170","5,523,455","3,494,120","14,333,114","3,243,450","10,032,159","3,792,870","3,455,054","2,120,990","25,651,190","2,954,870","16,031,199","1,857,070","32,677,436","3,607,440","107,113,617","247,450","697,290","3,255,170","2,834,920","54,879,625","924,120","12,660,077","3,970,100","12,589,897","643,520","169,402","76,940","890,891","414,380","2,570,778","408,360","2,075,442","1,564,500","1,754,950","93,110","178,140","69,310","223,399","6,969,390","140,813,885","5,443,670","23,337,453","1,263,580","2,235,748","6,070,970","22,517,724","6,947,320","49,971,444","5,407,650","41,364,827","5,802,110","19,456,656","12,626,940","769,885,763","12,592,850","114,545,675","76,300","135,062","78,060","198,117","5,666,890","9,358,826","1,017,190","369,752","953,410","536,126","1,284,130","1,648,965",0,0,"3,755,010","6,309,819","480,600","266,987","1,573,130","5,030,902","30,340","86,031","87,120","301,184","263,590","151,753","12,489,670","132,288,095",0,0,0,0,"111,630","167,666","932,080","860,426","6,190","7,584","12,456,140","105,187,163","12,509,020","111,329,859","4,540","4,042","1,140",538,"3,410,990","9,968,923","8,888,590","29,635,039"
US,7,"17,404,670","2,574,620","13,969,550","666,690","10,369,200","46,908,870","15,539,870","60,410","12,730","16,000","31,680","2,347,541,214","17,404,670","2,377,293,983","15,397,750","1,749,353,661","10,118,680","13,055,300","6,965,640","41,430,489","6,567,480","30,370,248","7,210,010","8,506,706","3,358,930","65,573,908","6,151,770","59,144,636","2,816,740","75,309,779","5,067,070","198,135,362","357,180","765,870","3,850,266","3,535,110","79,186,595","2,179,250","55,103,064","6,406,700","29,752,769","1,132,700","305,370","280,320","4,551,341","828,350","6,340,323","655,390","3,695,776","2,022,930","2,148,130","486,070","937,154","175,250","824,198","13,377,880","340,889,412","10,945,920","78,002,986","2,062,980","4,857,917","12,176,930","58,935,502","13,356,510","146,117,805","10,838,610","99,466,461","11,810,430","48,933,867","17,382,560","1,773,532,488","17,356,790","308,907,478","611,270","1,446,842","47,930","163,872","8,058,410","11,332,760","2,378,610","1,628,805","1,724,710","971,103","1,730,710","2,468,625",0,0,"3,613,170","4,932,933","787,390","601,112","2,609,610","11,538,180","3,190","8,642","51,000","180,321","175,040","165,206","17,214,860","329,536,987",0,0,0,0,"29,800","48,384","1,580,140","1,530,392",570,968,"17,295,450","297,580,129","17,322,740","311,652,636","134,290","39,856","57,460","24,652","6,397,040","30,846,834","10,273,010","43,800,369"
US,8,"5,019,680","570,230","4,282,510","122,650","3,519,750","14,334,100","5,034,630","4,470","1,800",860,"1,820","1,430,279,176","5,019,680","1,456,763,421","4,420,460","954,794,742","3,893,090","12,080,822","3,218,410","45,039,693","3,099,420","34,575,877","1,814,140","4,129,368","1,222,570","65,343,730","3,143,370","89,550,945","861,290","40,618,317","1,221,310","65,152,383","122,200","130,520","748,658","910,910","23,153,351","1,548,920","121,864,428","1,826,290","26,484,245","179,910","45,975","314,900","8,840,998","572,340","6,022,088","118,750","1,109,861",0,0,0,0,"151,130","1,570,680","4,683,950","201,656,366","3,870,340","65,767,458","728,830","2,592,029","4,304,300","34,578,754","4,678,060","104,916,299","3,600,380","47,519,969","4,298,600","32,122,012","5,014,550","1,179,331,948","5,014,210","280,366,524","3,044,760","15,492,954","6,670","25,889","2,143,430","5,074,264","1,532,210","3,875,666","501,650","273,533",0,0,0,0,"2,180","2,013","201,890","282,425","1,177,640","9,160,753",0,0,"6,880","27,472","29,660","65,193","4,955,120","276,121,820",0,0,0,0,0,0,0,0,0,0,"5,002,770","275,293,815","5,012,210","290,127,339","2,106,600","1,614,592","2,453,130","2,757,454","2,663,610","37,763,013","1,790,200","14,410,201"
US,9,"805,270","90,670","685,350","19,580","684,980","2,355,450","865,520",0,0,0,0,"542,965,080","805,270","554,455,752","684,840","297,291,300","736,530","6,865,147","647,170","23,696,315","629,360","18,370,906","266,040","1,844,087","217,850","23,318,051","666,340","61,060,772","123,960","7,731,309","141,990","7,833,247","25,150","9,630","60,667","138,340","3,753,769","459,380","102,288,343","397,620","11,490,672","9,780","2,411","97,070","4,251,247","168,090","2,203,217","22,370","223,468",0,0,0,0,"59,570","1,461,470","747,190","62,758,668","630,230","28,849,214","108,880","526,839","697,830","9,666,836","746,070","39,542,138","532,880","9,815,091","704,420","13,304,705","804,290","479,851,825","804,780","141,028,950","364,330","4,683,518",600,"2,611","494,100","4,380,031","412,120","3,661,868","56,070","33,000",0,0,0,0,0,0,"22,980","68,113","270,090","3,253,477",0,0,620,"2,774","4,020","16,445","794,610","136,932,422",0,0,0,0,0,0,0,0,0,0,"802,540","136,654,022","804,340","145,144,817","566,960","1,778,089","692,900","3,171,139","447,250","20,288,329","166,820","4,173,559"
