State,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,
United States,"$5,746 ","$5,862 ","$5,775 ","$5,489 ","$5,271 ","$5,439 ","$5,913 ","$6,258 ","$6,514 ","$5,953 ","$5,414 ","$5,429 ","$5,198 ","$5,378 ","$5,802 ","$6,207 ","$6,425 ","$6,715 ","$6,860 ","$7,198 ",
Alabama,"$4,936 ","$4,828 ","$4,686 ","$4,718 ","$4,688 ","$4,920 ","$5,687 ","$6,715 ","$7,657 ","$5,764 ","$4,895 ","$4,833 ","$5,257 ","$5,129 ","$5,246 ","$5,422 ","$5,452 ","$5,814 ","$5,967 ","$6,036 ",
Alaska,"$9,859 ","$10,754 ","$10,993 ","$10,737 ","$10,493 ","$11,271 ","$12,227 ","$14,011 ","$14,656 ","$15,517 ","$15,013 ","$15,022 ","$15,314 ","$16,357 ","$17,746 ","$18,188 ","$17,422 ","$17,187 ","$17,787 ","$19,151 ",
Arizona,"$4,114 ","$4,188 ","$4,011 ","$3,639 ","$3,547 ","$3,702 ","$3,857 ","$4,271 ","$4,686 ","$3,816 ","$3,411 ","$3,274 ","$2,331 ","$2,419 ","$2,518 ","$2,553 ","$2,193 ","$2,263 ","$2,332 ","$2,417 ",
Arkansas,"$5,412 ","$5,409 ","$5,318 ","$4,971 ","$5,184 ","$4,945 ","$5,696 ","$5,954 ","$6,405 ","$6,317 ","$6,150 ","$6,307 ","$6,368 ","$6,313 ","$6,372 ","$6,518 ","$6,492 ","$6,470 ","$6,473 ","$6,726 ",
California,"$4,839 ","$6,112 ","$6,360 ","$5,786 ","$5,368 ","$5,572 ","$6,454 ","$6,782 ","$6,816 ","$5,334 ","$5,561 ","$5,993 ","$5,273 ","$5,600 ","$6,456 ","$7,257 ","$7,908 ","$8,180 ","$8,500 ","$9,309 ",
Colorado,"$4,081 ","$4,222 ","$4,109 ","$3,133 ","$2,937 ","$3,100 ","$3,407 ","$3,685 ","$3,887 ","$3,409 ","$1,982 ","$2,831 ","$2,770 ","$2,793 ","$3,039 ","$3,591 ","$4,041 ","$3,997 ","$4,077 ","$4,553 ",
Connecticut,"$9,762 ","$9,430 ","$9,562 ","$9,280 ","$8,924 ","$9,157 ","$9,513 ","$10,085 ","$10,774 ","$10,304 ","$10,079 ","$10,038 ","$9,022 ","$8,005 ","$8,992 ","$10,132 ","$11,408 ","$10,249 ","$10,168 ","$10,416 ",
Delaware,"$5,761 ","$6,381 ","$6,924 ","$5,611 ","$6,204 ","$6,382 ","$6,624 ","$7,148 ","$7,224 ","$7,148 ","$6,378 ","$5,778 ","$5,845 ","$5,890 ","$6,118 ","$5,905 ","$6,046 ","$6,349 ","$6,315 ","$6,272 ",
District of Columbia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"$17,527 ","$16,181 ","$18,606 ","$16,606 ","$19,204 ","$16,271 ","$21,612 ","$19,948 ","$22,767 ",
Florida,"$5,810 ","$6,507 ","$6,074 ","$5,949 ","$5,717 ","$6,270 ","$6,575 ","$6,567 ","$6,332 ","$6,293 ","$5,149 ","$5,036 ","$4,798 ","$4,509 ","$5,459 ","$5,919 ","$6,178 ","$6,490 ","$7,211 ","$7,660 ",
Georgia,"$9,645 ","$8,267 ","$7,563 ","$7,030 ","$7,008 ","$7,248 ","$7,863 ","$8,119 ","$8,272 ","$7,458 ","$6,049 ","$6,634 ","$6,117 ","$6,494 ","$7,066 ","$7,434 ","$7,778 ","$8,129 ","$8,623 ","$9,028 ",
Hawaii,"$8,635 ","$8,419 ","$8,211 ","$8,802 ","$9,293 ","$9,395 ","$10,893 ","$12,222 ","$13,182 ","$13,557 ","$11,114 ","$10,171 ","$10,564 ","$10,695 ","$11,027 ","$12,286 ","$13,273 ","$15,399 ","$16,977 ","$19,029 ",
Idaho,"$6,677 ","$7,372 ","$7,876 ","$7,022 ","$6,742 ","$6,968 ","$7,293 ","$7,757 ","$8,403 ","$8,313 ","$6,405 ","$5,782 ","$5,051 ","$5,588 ","$5,987 ","$6,664 ","$7,087 ","$7,745 ","$7,969 ","$8,214 ",
Illinois,"$6,952 ","$6,692 ","$6,907 ","$6,257 ","$6,157 ","$6,195 ","$6,126 ","$6,587 ","$7,315 ","$7,434 ","$8,016 ","$8,055 ","$8,828 ","$10,383 ","$10,772 ","$11,339 ","$9,143 ","$12,688 ","$11,870 ","$12,584 ",
Indiana,"$5,694 ","$5,501 ","$4,752 ","$5,059 ","$5,091 ","$5,298 ","$5,342 ","$5,352 ","$5,399 ","$5,362 ","$4,832 ","$4,707 ","$4,829 ","$4,962 ","$5,418 ","$5,365 ","$5,730 ","$5,730 ","$5,733 ","$5,790 ",
Iowa,"$6,730 ","$6,374 ","$5,564 ","$5,312 ","$4,896 ","$4,928 ","$5,404 ","$5,579 ","$5,961 ","$6,114 ","$4,622 ","$4,448 ","$4,336 ","$4,782 ","$5,045 ","$5,362 ","$5,297 ","$5,119 ","$5,023 ","$5,158 ",
Kansas,"$4,805 ","$5,000 ","$5,024 ","$4,582 ","$4,581 ","$4,815 ","$4,494 ","$4,564 ","$4,765 ","$4,532 ","$4,035 ","$3,958 ","$3,999 ","$4,288 ","$4,195 ","$4,346 ","$4,139 ","$4,146 ","$4,258 ","$4,494 ",
Kentucky,"$6,810 ","$7,000 ","$6,966 ","$6,319 ","$6,571 ","$6,126 ","$6,924 ","$7,103 ","$7,595 ","$7,208 ","$6,357 ","$6,194 ","$6,292 ","$6,272 ","$6,337 ","$6,463 ","$6,573 ","$6,585 ","$6,720 ","$6,618 ",
