State,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2008,2007,2006,2004,2003,2000
Alabama,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4,4,4
Alaska,,,,,,,,,,,,,,,,,
Arizona,5.6,5.6,5.6,5.6,5.6,5.6,5.6,6.6 5,6.6,6.6,5.6,5.6,5.6,5.6,5.6,5.6,5.6
Arkansas,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.0,6.0,6.0,6.0,6.0,6.0,6.0,5.125,5.125,5.125
California 3,7.25,7.25,7.25,7.25,7.5,7.5,7.5,7.5,7.25,8.25,8.25,7.25,7.25,6.25,6,6,5.75
Colorado,2.9,2.9,2.9,2.9,2.9,2.9,2.9,2.9,2.9,2.9,2.9,2.9,2.9,2.9,2.9,2.9,2.9
Connecticut ,6.35,6.35,6.35,6.35,6.35,6.35,6.35,6.35,6.35,6.0,6.0,6.0,6.0,6.0,6,6,6
Delaware,,,,,,,,,,,,,,,,,
District of Columbia ,6.0,6.0,5.75,5.75,5.75,5.75,5.75,6.0,6.0,6.0,6.0,5.75,5.75,5.75,5.75,5.75,5.75
Florida,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6,6,6
Georgia,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4,4,4
Hawaii,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4,4,4
Idaho,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,5.0,6,5,5
Illinois,6.25,6.25,6.25,6.25,6.25,6.25,6.25,6.25,6.25,6.25,6.25,6.25,6.25,6.25,6.25,6.25,6.25
Indiana ,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,6.0,6.0,6.0,6,6,5
Iowa,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,5.0,5.0,5.0,5,5,5
Kansas,6.5,6.5,6.5,6.5,6.5,6.15,6.15,6.3 5,6.3,6.3,5.3,5.3,5.3,5.3,5.3,5.3,4.9
